content,score,at,translated_content,cleaned_content,tokenized_content,stopword_removed_content,stemmed_content,sentiment_score,predicted_rating,sentiment_category,ulasan_bersih
"Rada kesel pengen nonton, udah coba buat bayar yg perbulan tapi gak bisa""",3,2022-12-31 22:23:16,"Rada kesel pengen nonton, udah coba buat bayar yg perbulan tapi gak bisa""",rada kesel pengen nonton udah coba buat bayar yg perbulan tapi gak bisa,"['rada', 'kesel', 'pengen', 'nonton', 'udah', 'coba', 'buat', 'bayar', 'yg', 'perbulan', 'tapi', 'gak', 'bisa']","['rada', 'kesel', 'pengen', 'nonton', 'udah', 'coba', 'bayar', 'yg', 'perbulan', 'gak']","['rada', 'kesel', 'ken', 'nonton', 'udah', 'coba', 'bayar', 'yg', 'bulan', 'gak']",-12,1,Negatif,rada kesel ken nonton udah coba bayar yg bulan gak
Hebat,5,2022-12-31 19:50:14,Hebat,hebat,['hebat'],['hebat'],['hebat'],0,3,Netral,hebat
"Ga bisa"" mutar video",1,2022-12-31 18:58:09,"Ga bisa"" mutar video",ga bisa mutar video,"['ga', 'bisa', 'mutar', 'video']","['ga', 'mutar', 'video']","['ga', 'mutar', 'video']",0,3,Netral,ga mutar video
Apk tidak guna,1,2022-12-31 18:43:05,Apk tidak guna,apk tidak guna,"['apk', 'tidak', 'guna']",['apk'],['apk'],0,3,Netral,apk
Why keris siamang tunggal upin ipin movie cant play?,3,2022-12-31 15:39:49,Why keris siamang tunggal upin ipin movie cant play?,why keris siamang tunggal upin ipin movie cant play,"['why', 'keris', 'siamang', 'tunggal', 'upin', 'ipin', 'movie', 'cant', 'play']","['why', 'keris', 'siamang', 'tunggal', 'upin', 'ipin', 'movie', 'cant', 'play']","['why', 'keris', 'siamang', 'tunggal', 'upin', 'ipin', 'movie', 'cant', 'play']",-6,1,Negatif,why keris siamang tunggal upin ipin movie cant play
Mantap sih cuman masih kurang film nya,4,2022-12-31 15:21:26,Tetap saja masih kekurangan filmnya,tetap saja masih kekurangan filmnya,"['tetap', 'saja', 'masih', 'kekurangan', 'filmnya']","['kekurangan', 'filmnya']","['kurang', 'film']",-3,2,Negatif,kurang film
GK ada yg gratisan gak papa harus nonton iklan yg penting bisa nonton,1,2022-12-31 09:21:31,GK ada yg gratisan gak papa harus nonton iklan yg penting bisa nonton,gk ada yg gratisan gak papa harus nonton iklan yg penting bisa nonton,"['gk', 'ada', 'yg', 'gratisan', 'gak', 'papa', 'harus', 'nonton', 'iklan', 'yg', 'penting', 'bisa', 'nonton']","['gk', 'yg', 'gratisan', 'gak', 'papa', 'nonton', 'iklan', 'yg', 'nonton']","['gk', 'yg', 'gratis', 'gak', 'papa', 'nonton', 'iklan', 'yg', 'nonton']",4,4,Positif,gk yg gratis gak papa nonton iklan yg nonton
"Cok ngapain gw beli Disney dulu, Mending beli netfilx, Film nya lengkap, Gak kayak disney",1,2022-12-31 02:18:41,"Cok ngapain gw beli Disney dulu, Mending beli netfilx, Film nya lengkap, Gak kayak disney",cok ngapain gw beli disney dulu mending beli netfilx film nya lengkap gak kayak disney,"['cok', 'ngapain', 'gw', 'beli', 'disney', 'dulu', 'mending', 'beli', 'netfilx', 'film', 'nya', 'lengkap', 'gak', 'kayak', 'disney']","['cok', 'ngapain', 'gw', 'beli', 'disney', 'mending', 'beli', 'netfilx', 'film', 'nya', 'lengkap', 'gak', 'kayak', 'disney']","['cok', 'ngapain', 'gw', 'beli', 'disney', 'mending', 'beli', 'netfilx', 'film', 'nya', 'lengkap', 'gak', 'kayak', 'disney']",-15,1,Negatif,cok ngapain gw beli disney mending beli netfilx film nya lengkap gak kayak disney
Sebenrnua sih apk ini bagus cuma nak nonton Vidio yang ku suka malah harus bayar dulu,2,2022-12-31 00:19:37,Sebenrnua sih apk ini bagus cuma nak nonton Vidio yang ku suka malah harus bayar dulu,sebenrnua sih apk ini bagus cuma nak nonton vidio yang ku suka malah harus bayar dulu,"['sebenrnua', 'sih', 'apk', 'ini', 'bagus', 'cuma', 'nak', 'nonton', 'vidio', 'yang', 'ku', 'suka', 'malah', 'harus', 'bayar', 'dulu']","['sebenrnua', 'sih', 'apk', 'bagus', 'nak', 'nonton', 'vidio', 'ku', 'suka', 'bayar']","['sebenrnua', 'sih', 'apk', 'bagus', 'nak', 'nonton', 'vidio', 'ku', 'suka', 'bayar']",-8,1,Negatif,sebenrnua sih apk bagus nak nonton vidio ku suka bayar
Video nya putus-putus padahal udah pake wifi,1,2022-12-30 20:08:31,Video nya putus-putus padahal udah pake wifi,video nya putusputus padahal udah pake wifi,"['video', 'nya', 'putusputus', 'padahal', 'udah', 'pake', 'wifi']","['video', 'nya', 'putusputus', 'udah', 'pake', 'wifi']","['video', 'nya', 'putusputus', 'udah', 'pake', 'wifi']",0,3,Netral,video nya putusputus udah pake wifi
Banyak yg gak bisa di puter film² baru nya,1,2022-12-30 19:07:17,Banyak yg gak bisa di puter film² baru nya,banyak yg gak bisa di puter film² baru nya,"['banyak', 'yg', 'gak', 'bisa', 'di', 'puter', 'film²', 'baru', 'nya']","['yg', 'gak', 'puter', 'film²', 'nya']","['yg', 'gak', 'puter', 'film', 'nya']",0,3,Netral,yg gak puter film nya
Untuk login ke TV sungguh susah sekali,1,2022-12-30 18:59:05,Untuk login ke TV sungguh susah sekali,untuk login ke tv sungguh susah sekali,"['untuk', 'login', 'ke', 'tv', 'sungguh', 'susah', 'sekali']","['login', 'tv', 'sungguh', 'susah']","['login', 'tv', 'sungguh', 'susah']",-4,2,Negatif,login tv sungguh susah
"Apknya bagus banget, recomend",5,2022-12-30 18:25:56,"Apknya bagus banget, recomend",apknya bagus banget recomend,"['apknya', 'bagus', 'banget', 'recomend']","['apknya', 'bagus', 'banget', 'recomend']","['apknya', 'bagus', 'banget', 'recomend']",-3,2,Negatif,apknya bagus banget recomend
Saya suka disney ini,4,2022-12-30 17:11:10,Saya suka disney ini,saya suka disney ini,"['saya', 'suka', 'disney', 'ini']","['suka', 'disney']","['suka', 'disney']",-1,2,Negatif,suka disney
Karena ngga bisa di download padahal memo ngga penuh terus jaringan masih bagus dan stabil udah selesai download kok ada bacaan kirimkan pesan ada permasalahan gitu jadi aku kasih bintang 1,1,2022-12-30 15:37:23,Karena ngga bisa di download padahal memo ngga penuh terus jaringan masih bagus dan stabil udah selesai download kok ada bacaan kirimkan pesan ada permasalahan gitu jadi aku kasih bintang 1,karena ngga bisa di download padahal memo ngga penuh terus jaringan masih bagus dan stabil udah selesai download kok ada bacaan kirimkan pesan ada permasalahan gitu jadi aku kasih bintang,"['karena', 'ngga', 'bisa', 'di', 'download', 'padahal', 'memo', 'ngga', 'penuh', 'terus', 'jaringan', 'masih', 'bagus', 'dan', 'stabil', 'udah', 'selesai', 'download', 'kok', 'ada', 'bacaan', 'kirimkan', 'pesan', 'ada', 'permasalahan', 'gitu', 'jadi', 'aku', 'kasih', 'bintang']","['ngga', 'download', 'memo', 'ngga', 'penuh', 'jaringan', 'bagus', 'stabil', 'udah', 'selesai', 'download', 'bacaan', 'kirimkan', 'pesan', 'permasalahan', 'gitu', 'kasih', 'bintang']","['ngga', 'download', 'memo', 'ngga', 'penuh', 'jaring', 'bagus', 'stabil', 'udah', 'selesai', 'download', 'baca', 'kirim', 'pesan', 'masalah', 'gitu', 'kasih', 'bintang']",-13,1,Negatif,ngga download memo ngga penuh jaring bagus stabil udah selesai download baca kirim pesan masalah gitu kasih bintang
"Gk Bisa nonton Stand By Me Doraemon, Mengecewakan!",1,2022-12-30 10:31:21,"Gk Bisa nonton Stand By Me Doraemon, Mengecewakan!",gk bisa nonton stand by me doraemon mengecewakan,"['gk', 'bisa', 'nonton', 'stand', 'by', 'me', 'doraemon', 'mengecewakan']","['gk', 'nonton', 'stand', 'by', 'me', 'doraemon', 'mengecewakan']","['gk', 'nonton', 'stand', 'by', 'me', 'doraemon', 'kecewa']",0,3,Netral,gk nonton stand by me doraemon kecewa
Film Marvel nya lambat update,3,2022-12-30 09:18:42,Film Marvel nya lambat update,film marvel nya lambat update,"['film', 'marvel', 'nya', 'lambat', 'update']","['film', 'marvel', 'nya', 'lambat', 'update']","['film', 'marvel', 'nya', 'lambat', 'update']",1,4,Positif,film marvel nya lambat update
kualitas videnya sudah saya setel ke yang paling tinggi tapi masih buruk kualitasnya,3,2022-12-29 22:48:00,kualitas videnya sudah saya setel ke yang paling tinggi tapi masih buruk kualitasnya,kualitas videnya sudah saya setel ke yang paling tinggi tapi masih buruk kualitasnya,"['kualitas', 'videnya', 'sudah', 'saya', 'setel', 'ke', 'yang', 'paling', 'tinggi', 'tapi', 'masih', 'buruk', 'kualitasnya']","['kualitas', 'videnya', 'setel', 'buruk', 'kualitasnya']","['kualitas', 'vide', 'setel', 'buruk', 'kualitas']",3,4,Positif,kualitas vide setel buruk kualitas
"Sudah berlangganan via telkomsel, tapi masih minta berlangganan terus..? Blm bisa dibuka. 😩😤",1,2022-12-29 22:24:14,"Sudah berlangganan via telkomsel, tapi masih minta berlangganan terus..? Blm bisa dibuka. 😩😤",sudah berlangganan via telkomsel tapi masih minta berlangganan terus blm bisa dibuka 😩😤,"['sudah', 'berlangganan', 'via', 'telkomsel', 'tapi', 'masih', 'minta', 'berlangganan', 'terus', 'blm', 'bisa', 'dibuka', '😩😤']","['berlangganan', 'via', 'telkomsel', 'berlangganan', 'blm', 'dibuka', '😩😤']","['langgan', 'via', 'telkomsel', 'langgan', 'blm', 'buka', '']",1,4,Positif,langgan via telkomsel langgan blm buka 
"saya sudah beli paket Disney hostar di my telkomsel tetapi pas login, akun nya belum berlangganan, gmana nih, apakah sudah tidak bekerja sama lagi?",1,2022-12-29 21:58:26,"saya sudah beli paket Disney hostar di my telkomsel tetapi pas login, akun nya belum berlangganan, gmana nih, apakah sudah tidak bekerja sama lagi?",saya sudah beli paket disney hostar di my telkomsel tetapi pas login akun nya belum berlangganan gmana nih apakah sudah tidak bekerja sama lagi,"['saya', 'sudah', 'beli', 'paket', 'disney', 'hostar', 'di', 'my', 'telkomsel', 'tetapi', 'pas', 'login', 'akun', 'nya', 'belum', 'berlangganan', 'gmana', 'nih', 'apakah', 'sudah', 'tidak', 'bekerja', 'sama', 'lagi']","['beli', 'paket', 'disney', 'hostar', 'my', 'telkomsel', 'pas', 'login', 'akun', 'nya', 'berlangganan', 'gmana', 'nih']","['beli', 'paket', 'disney', 'hostar', 'my', 'telkomsel', 'pas', 'login', 'akun', 'nya', 'langgan', 'gmana', 'nih']",6,5,Positif,beli paket disney hostar my telkomsel pas login akun nya langgan gmana nih
